sample	public_name	accession_number	condition	stage	stageName	sampleName
zmp_ph133_pool1	ZMP_phenotype_133_1_pool1	ERS1021943	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_1
zmp_ph133_pool10	ZMP_phenotype_133_1_pool10	ERS1021952	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_10
zmp_ph133_pool11	ZMP_phenotype_133_1_pool11	ERS1021953	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_11
zmp_ph133_pool12	ZMP_phenotype_133_1_pool12	ERS1021954	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_12
zmp_ph133_pool2	ZMP_phenotype_133_1_pool2	ERS1021944	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_2
zmp_ph133_pool3	ZMP_phenotype_133_1_pool3	ERS1021945	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_3
zmp_ph133_pool4	ZMP_phenotype_133_1_pool4	ERS1021946	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_4
zmp_ph133_pool5	ZMP_phenotype_133_1_pool5	ERS1021947	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_5
zmp_ph133_pool6	ZMP_phenotype_133_1_pool6	ERS1021948	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_6
zmp_ph133_pool7	ZMP_phenotype_133_1_pool7	ERS1021949	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_7
zmp_ph133_pool8	ZMP_phenotype_133_1_pool8	ERS1021950	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_8
zmp_ph133_pool9	ZMP_phenotype_133_1_pool9	ERS1021951	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_pool_9
zmp_ph133_A1	ZMP_phenotype_133_1_1	ERS1021932	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A1
zmp_ph133_A10	ZMP_phenotype_133_1_10	ERS1021940	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A10
zmp_ph133_A11	ZMP_phenotype_133_1_11	ERS1021941	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A11
zmp_ph133_A12	ZMP_phenotype_133_1_12	ERS1021942	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A12
zmp_ph133_A2	ZMP_phenotype_133_1_2	ERS1021933	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A2
zmp_ph133_A3	ZMP_phenotype_133_1_3	ERS1021934	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A3
zmp_ph133_A4	ZMP_phenotype_133_1_4	ERS1021935	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A4
zmp_ph133_A5	ZMP_phenotype_133_1_5	ERS1021936	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A5
zmp_ph133_A6	ZMP_phenotype_133_1_6	ERS1021937	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A6
zmp_ph133_A7	ZMP_phenotype_133_1_7	ERS1021938	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A7
zmp_ph133_A9	ZMP_phenotype_133_1_9	ERS1021939	ZFS:0000001	Zygote:1-cell	1-cell	1-cell_detct_single_A9
zmp_ph128_pool1	ZMP_phenotype_128_1_pool1	ERS1021802	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_1
zmp_ph128_pool10	ZMP_phenotype_128_1_pool10	ERS1021811	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_10
zmp_ph128_pool11	ZMP_phenotype_128_1_pool11	ERS1021812	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_11
zmp_ph128_pool12	ZMP_phenotype_128_1_pool12	ERS1021813	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_12
zmp_ph128_pool2	ZMP_phenotype_128_1_pool2	ERS1021803	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_2
zmp_ph128_pool3	ZMP_phenotype_128_1_pool3	ERS1021804	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_3
zmp_ph128_pool4	ZMP_phenotype_128_1_pool4	ERS1021805	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_4
zmp_ph128_pool5	ZMP_phenotype_128_1_pool5	ERS1021806	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_5
zmp_ph128_pool6	ZMP_phenotype_128_1_pool6	ERS1021807	ZFS:0000002	Cleavage:2-cell	2-cell	2-cell_detct_pool_6
