FIELD	zmp_ph131_B	zmp_ph131_C	zmp_ph131_D	zmp_ph131_E	zmp_ph131_F	zmp_ph130_B	zmp_ph130_C	zmp_ph130_D	zmp_ph130_E	zmp_ph130_F	zmp_ph133_B	zmp_ph133_D	zmp_ph133_E	zmp_ph133_F	zmp_ph133_G	zmp_ph128_B	zmp_ph128_C	zmp_ph128_D	zmp_ph128_E	zmp_ph128_F	zmp_ph125_B	zmp_ph125_C	zmp_ph125_D	zmp_ph125_E	zmp_ph125_F	zmp_ph126_B	zmp_ph126_C	zmp_ph126_D	zmp_ph126_E	zmp_ph126_F	zmp_ph115_B	zmp_ph115_C	zmp_ph115_D	zmp_ph115_E	zmp_ph115_F	zmp_ph124_B	zmp_ph124_C	zmp_ph124_D	zmp_ph124_E	zmp_ph124_F	zmp_ph129_B	zmp_ph129_C	zmp_ph129_D	zmp_ph129_E	zmp_ph129_G	zmp_ph121_A	zmp_ph121_B	zmp_ph121_C	zmp_ph121_D	zmp_ph121_E	zmp_ph122_A	zmp_ph122_B	zmp_ph122_C	zmp_ph122_D	zmp_ph122_F	zmp_ph127_B	zmp_ph127_C	zmp_ph127_D	zmp_ph127_E	zmp_ph127_F	zmp_ph119_A	zmp_ph119_B	zmp_ph119_C	zmp_ph119_D	zmp_ph119_E	zmp_ph116_A	zmp_ph116_B	zmp_ph116_C	zmp_ph116_D	zmp_ph116_F	zmp_ph117_A	zmp_ph117_C	zmp_ph117_D	zmp_ph117_E	zmp_ph117_F	zmp_ph118_B	zmp_ph118_C	zmp_ph118_D	zmp_ph118_E	zmp_ph118_F	zmp_ph120_A	zmp_ph120_B	zmp_ph120_C	zmp_ph120_D	zmp_ph120_E	zmp_ph123_B	zmp_ph123_C	zmp_ph123_D	zmp_ph123_F	zmp_ph123_G
Stranded_Rule_Code	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
READ_PAIR_OK	5753178	5726010	3945711	3917119	3866322	4512186	3332842	3348634	4447526	4225323	4951889	4147486	4725989	4986860	3843338	4257374	4198024	4290684	4027476	5033955	3527457	4116063	4056416	4307815	4026355	3552225	4023907	4222858	3457897	3957177	4304601	4230991	4088934	3598813	3342460	3731312	3635860	3892612	3981633	3259771	4360455	3676353	5044822	4511927	3952700	3249359	2937262	3803778	3326041	3271584	2880756	2944348	3144614	2748287	2746496	3936414	4444817	4285892	3849547	4062120	3074907	2975286	3322114	3512887	4023642	2921225	2879748	4795771	4680236	2821878	3038938	3349273	2956357	3003308	3500629	3667486	4206380	3331962	3334872	3119159	3339201	3033257	3455602	3495496	3446289	3780508	4020113	4483748	4117985	4024892
TOTAL_READ_PAIRS	6466967	6519227	4900335	5073742	4966256	5837835	4768637	4734118	5955686	5653502	5764817	4956115	5494509	5512382	4283596	5248354	5223977	5287510	5043154	5924128	4765122	5403717	5517678	5661822	5472121	4962826	5266895	5829071	4873800	5535090	5193028	5136471	5362037	4812557	4431691	5065432	5056979	5209141	5269910	4550659	5673237	4963554	6053763	5458977	5100982	4663018	4242791	5271246	4602175	4554297	4215526	4118917	4413986	4006349	3892393	5243543	5735954	5496938	5059924	5048848	4301611	4184623	4684766	4885363	5270162	4227874	4060631	6000400	5849415	3983553	4223625	4554947	4191954	4252071	4857518	4891713	5625517	4560547	4604257	4301746	4644671	4322828	4931815	4844208	4756840	5020929	5298863	6084022	5601769	5394194
DROPPED_NOT_PROPER_PAIR	473045	531466	775763	1007835	935546	942238	1191763	1063504	1186212	1122635	666931	700375	638536	398142	351664	882120	916219	891203	908118	765254	1044747	1090266	1243201	1124775	1234434	1162945	973150	1334164	1177978	1344745	664509	698203	1062830	1025582	932784	1065771	1175720	1059014	962020	1073125	1102467	1157188	783534	687016	998986	1225023	1136896	1245407	1090204	1100192	1150469	988736	1072500	1086378	977927	1141997	1089375	1034146	1049204	808925	1020888	1014219	1143464	1137371	976175	1136801	992019	906320	862969	990289	982920	950526	1042305	1038134	1131562	927848	1117567	998970	1055789	959450	1106167	1117818	1283838	1154871	1118197	965350	1029988	1284457	1224694	1135015
DROPPED_READ_FAILS_VENDOR_QC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_MARKED_NOT_VALID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_CHROMS_MISMATCH	6	9	6	20	9	5	9	10	16	13	2	11	11	7	2	12	12	11	12	12	6	7	9	8	14	13	8	14	8	21	20	19	19	16	14	16	17	12	13	14	9	11	16	9	12	11	5	2	6	3	3	2	6	6	4	19	20	14	18	15	8	4	6	5	6	12	12	15	8	7	12	5	5	10	8	9	9	7	6	10	8	9	6	4	6	17	14	18	18	16
DROPPED_PAIR_STRANDS_MISMATCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_IGNORED_CHROMOSOME	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_UNIQUE_ALIGNMENT	240738	261742	178855	148768	164379	383406	244023	321970	321932	305531	145995	108243	129973	127373	88592	108848	109722	105612	107548	124907	192912	197381	218052	229224	211318	247643	269830	272035	237917	233147	223898	207258	210254	188146	156433	268333	245382	257503	326244	217749	210306	130002	225391	260025	149284	188625	168628	222059	185924	182518	184298	185831	196866	171678	167966	165113	201742	176886	161155	177788	205808	195114	219182	235100	270339	169836	188852	298294	306202	171379	201755	255143	193287	210619	225319	296370	301561	229608	213590	223127	199295	171744	192369	193837	192348	275054	248748	315799	259072	234271
