	zmp_ph133_B	zmp_ph133_D	zmp_ph133_E	zmp_ph133_F	zmp_ph133_G	zmp_ph128_B	zmp_ph128_C	zmp_ph128_D	zmp_ph128_E	zmp_ph128_F	zmp_ph129_B	zmp_ph129_C	zmp_ph129_D	zmp_ph129_E	zmp_ph129_G	zmp_ph131_B	zmp_ph131_C	zmp_ph131_D	zmp_ph131_E	zmp_ph131_F	zmp_ph127_B	zmp_ph127_C	zmp_ph127_D	zmp_ph127_E	zmp_ph127_F	zmp_ph115_B	zmp_ph115_C	zmp_ph115_D	zmp_ph115_E	zmp_ph115_F	zmp_ph123_B	zmp_ph123_C	zmp_ph123_D	zmp_ph123_F	zmp_ph123_G	zmp_ph124_B	zmp_ph124_C	zmp_ph124_D	zmp_ph124_E	zmp_ph124_F	zmp_ph130_B	zmp_ph130_C	zmp_ph130_D	zmp_ph130_E	zmp_ph130_F	zmp_ph125_B	zmp_ph125_C	zmp_ph125_D	zmp_ph125_E	zmp_ph125_F	zmp_ph126_B	zmp_ph126_C	zmp_ph126_D	zmp_ph126_E	zmp_ph126_F	zmp_ph116_A	zmp_ph116_B	zmp_ph116_C	zmp_ph116_D	zmp_ph116_F	zmp_ph117_A	zmp_ph117_C	zmp_ph117_D	zmp_ph117_E	zmp_ph117_F	zmp_ph118_B	zmp_ph118_C	zmp_ph118_D	zmp_ph118_E	zmp_ph118_F	zmp_ph119_A	zmp_ph119_B	zmp_ph119_C	zmp_ph119_D	zmp_ph119_E	zmp_ph120_A	zmp_ph120_B	zmp_ph120_C	zmp_ph120_D	zmp_ph120_E	zmp_ph121_A	zmp_ph121_B	zmp_ph121_C	zmp_ph121_D	zmp_ph121_E	zmp_ph122_A	zmp_ph122_B	zmp_ph122_C	zmp_ph122_D	zmp_ph122_F
ERCC-00002	207607	169484	218581	186645	140196	207170	157052	160650	161930	170368	112337	73057	95192	142988	64694	87643	87803	68883	70366	73038	109031	123253	147968	90543	101607	93397	82835	85669	74277	72606	113299	81992	93812	91254	97993	60079	57337	35318	98615	51975	54049	41209	43371	55148	55073	59134	65666	61813	56119	56874	62246	79892	47396	35577	42657	18980	19250	29238	32265	20002	23193	32016	23283	25174	28200	27471	35170	29727	29562	27422	21530	21734	22891	26882	44436	22964	18874	20045	23941	29437	18279	13992	20046	17511	16903	13967	14852	15868	11836	14681
ERCC-00003	7553	8504	12255	11465	9866	9360	11005	8952	7855	7513	4952	6533	4860	8598	4331	7204	4838	4566	5628	5093	7838	7211	11406	6328	5103	7235	7204	6243	5622	5720	7527	5412	6517	6343	7718	4170	4041	7686	5660	4167	4460	3834	3520	4519	4966	5006	5621	5688	4650	5036	6437	6880	4365	3186	3807	2079	1923	2878	3137	1830	2226	2957	2178	2284	2737	2529	3063	2748	2744	2526	2007	2126	2159	2450	3720	2178	1780	1883	2293	2921	1767	1539	1904	1667	1700	1426	1470	1579	1316	1557
ERCC-00004	4427	4616	6984	6374	6107	6049	6144	5299	4186	4577	2866	3698	2914	4903	2665	4440	3215	2563	3038	2908	4639	3926	6399	3618	3165	4291	4077	3872	3375	3246	3992	3112	3511	3523	4248	2443	2460	2786	3434	2494	2657	2018	1923	2574	2703	2718	3011	3039	2540	2675	3326	3872	2389	1743	2065	943	1016	1566	1651	924	1155	1364	1170	1248	1409	1355	1695	1374	1377	1365	1055	1122	1124	1360	2166	1113	937	976	1171	1456	885	781	994	849	861	689	688	838	588	689
ERCC-00009	3916	3262	4143	3405	2414	4019	3006	3114	3137	3224	2148	1384	1779	2708	1219	1533	1614	1331	1303	1388	2122	2403	2858	1820	1925	1831	1507	1731	1414	1512	2143	1635	1886	1770	1966	1153	1051	689	1825	1061	1086	757	823	1036	1049	1191	1288	1215	990	1115	1151	1521	907	736	875	361	367	625	625	398	442	693	445	466	551	547	654	605	589	552	463	432	483	497	839	420	366	369	460	547	364	302	396	386	346	301	291	304	214	256
ERCC-00012	4	0	1	2	2	1	2	3	3	1	0	1	1	1	1	0	0	1	0	1	1	2	1	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	3	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0
ERCC-00013	9	8	17	20	7	18	14	11	10	11	7	1	11	4	8	6	4	7	5	5	5	10	9	6	12	9	13	8	1	4	9	7	6	6	10	3	6	2	5	5	3	0	1	5	1	7	7	4	6	4	7	7	2	2	6	3	0	3	5	1	1	1	1	3	5	2	5	4	6	2	0	3	1	2	3	0	2	0	5	1	0	1	1	1	0	3	3	0	2	0
ERCC-00014	53	41	71	49	26	45	47	41	34	42	37	23	19	30	21	24	21	16	23	20	25	30	48	19	30	24	15	27	18	13	42	22	30	18	17	20	20	16	32	17	15	10	10	13	10	10	16	12	12	12	19	23	20	6	12	6	3	7	8	3	5	7	6	7	8	9	10	3	4	5	8	5	5	9	13	3	7	5	4	5	5	6	7	1	5	5	4	6	3	7
ERCC-00016	2	0	4	2	0	1	1	1	3	0	0	0	1	1	0	1	0	2	0	0	1	1	0	0	0	0	3	0	0	1	0	0	0	0	1	1	3	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00017	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00019	35	34	53	33	43	37	25	34	40	32	17	18	23	34	10	18	19	16	17	17	28	34	40	16	20	14	19	15	11	16	28	16	17	14	22	16	14	13	18	9	7	11	7	7	9	15	8	11	9	7	13	9	15	5	6	7	5	4	7	2	6	3	3	5	4	2	7	3	4	4	6	3	2	10	10	5	5	2	5	3	2	5	4	5	5	5	6	1	3	4
