Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	Associated Gene Name	Description	Pfam ID	Ensembl Protein Family ID(s)	Ensembl Family Description
ENSDARG00000103400	4	55065619	55071256	-1	si:ch211-161m3.1	si:ch211-161m3.1 [Source:ZFIN;Acc:ZDB-GENE-110914-33]	PF13912	PTHR24384	ZINC FINGER
ENSDARG00000103400	4	55065619	55071256	-1	si:ch211-161m3.1	si:ch211-161m3.1 [Source:ZFIN;Acc:ZDB-GENE-110914-33]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000103400	4	55065619	55071256	-1	si:ch211-161m3.1	si:ch211-161m3.1 [Source:ZFIN;Acc:ZDB-GENE-110914-33]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000101292	4	51029423	51036835	1	si:dkey-201g16.1	si:dkey-201g16.1 [Source:ZFIN;Acc:ZDB-GENE-120703-40]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000101292	4	51029423	51036835	1	si:dkey-201g16.1	si:dkey-201g16.1 [Source:ZFIN;Acc:ZDB-GENE-120703-40]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000101292	4	51029423	51036835	1	si:dkey-201g16.1	si:dkey-201g16.1 [Source:ZFIN;Acc:ZDB-GENE-120703-40]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000104745	4	54217709	54338630	-1	si:ch211-207e19.15	si:ch211-207e19.15 [Source:ZFIN;Acc:ZDB-GENE-110914-27]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000094101	4	38643083	38649649	-1	si:dkey-122c11.8	si:dkey-122c11.8 [Source:ZFIN;Acc:ZDB-GENE-110913-23]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000094101	4	38643083	38649649	-1	si:dkey-122c11.8	si:dkey-122c11.8 [Source:ZFIN;Acc:ZDB-GENE-110913-23]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000094101	4	38643083	38649649	-1	si:dkey-122c11.8	si:dkey-122c11.8 [Source:ZFIN;Acc:ZDB-GENE-110913-23]	PF13912	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000087070	4	38593064	38608795	1	znf977	zinc finger protein 977 [Source:ZFIN;Acc:ZDB-GENE-110913-138]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000087070	4	38593064	38608795	1	znf977	zinc finger protein 977 [Source:ZFIN;Acc:ZDB-GENE-110913-138]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000087070	4	38593064	38608795	1	znf977	zinc finger protein 977 [Source:ZFIN;Acc:ZDB-GENE-110913-138]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000103213	4	52963960	52992446	1	si:dkey-56m15.8	si:dkey-56m15.8 [Source:ZFIN;Acc:ZDB-GENE-110914-109]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000103213	4	52963960	52992446	1	si:dkey-56m15.8	si:dkey-56m15.8 [Source:ZFIN;Acc:ZDB-GENE-110914-109]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000086182	4	33923328	33940563	1	znf985	zinc finger protein 985 [Source:ZFIN;Acc:ZDB-GENE-110914-127]	PF13465	PTHR24409_SF21	ZINC FINGER
ENSDARG00000086182	4	33923328	33940563	1	znf985	zinc finger protein 985 [Source:ZFIN;Acc:ZDB-GENE-110914-127]	PF00096	PTHR24409_SF21	ZINC FINGER
ENSDARG00000086182	4	33923328	33940563	1	znf985	zinc finger protein 985 [Source:ZFIN;Acc:ZDB-GENE-110914-127]	PF13894	PTHR24409_SF21	ZINC FINGER
ENSDARG00000086182	4	33923328	33940563	1	znf985	zinc finger protein 985 [Source:ZFIN;Acc:ZDB-GENE-110914-127]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000086182	4	33923328	33940563	1	znf985	zinc finger protein 985 [Source:ZFIN;Acc:ZDB-GENE-110914-127]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000086182	4	33923328	33940563	1	znf985	zinc finger protein 985 [Source:ZFIN;Acc:ZDB-GENE-110914-127]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000087645	4	47114891	47141723	-1	znf1064	zinc finger protein 1064 [Source:ZFIN;Acc:ZDB-GENE-110913-175]	PF13912	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000087645	4	47114891	47141723	-1	znf1064	zinc finger protein 1064 [Source:ZFIN;Acc:ZDB-GENE-110913-175]	PF13894	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000087645	4	47114891	47141723	-1	znf1064	zinc finger protein 1064 [Source:ZFIN;Acc:ZDB-GENE-110913-175]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000087645	4	47114891	47141723	-1	znf1064	zinc finger protein 1064 [Source:ZFIN;Acc:ZDB-GENE-110913-175]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000087645	4	47114891	47141723	-1	znf1064	zinc finger protein 1064 [Source:ZFIN;Acc:ZDB-GENE-110913-175]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000101137	4	55044050	55088179	1	znf999	zinc finger protein 999 [Source:ZFIN;Acc:ZDB-GENE-110913-39]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000101137	4	55044050	55088179	1	znf999	zinc finger protein 999 [Source:ZFIN;Acc:ZDB-GENE-110913-39]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000101137	4	55044050	55088179	1	znf999	zinc finger protein 999 [Source:ZFIN;Acc:ZDB-GENE-110913-39]	PF00096	PTHR24402_SF203	GASTRULA ZINC FINGER 5 1 XLCGF5 1
ENSDARG00000101623	4	35994749	36120033	-1	znf992	zinc finger protein 992 [Source:ZFIN;Acc:ZDB-GENE-110913-92]	PF13912	PTHR24384	ZINC FINGER
ENSDARG00000101623	4	35994749	36120033	-1	znf992	zinc finger protein 992 [Source:ZFIN;Acc:ZDB-GENE-110913-92]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000104964	4	37854536	37859835	-1	znf1093	zinc finger protein 1093 [Source:ZFIN;Acc:ZDB-GENE-110914-12]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000104964	4	37854536	37859835	-1	znf1093	zinc finger protein 1093 [Source:ZFIN;Acc:ZDB-GENE-110914-12]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000094558	4	42746119	42752729	-1	si:dkeyp-53e4.1	si:dkeyp-53e4.1 [Source:ZFIN;Acc:ZDB-GENE-110913-59]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000094558	4	42746119	42752729	-1	si:dkeyp-53e4.1	si:dkeyp-53e4.1 [Source:ZFIN;Acc:ZDB-GENE-110913-59]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000101223	4	37788634	37795222	1	ZNF501 (1 of many)	si:ch211-229l10.11 [Source:ZFIN;Acc:ZDB-GENE-110913-131]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000101223	4	37788634	37795222	1	ZNF501 (1 of many)	si:ch211-229l10.11 [Source:ZFIN;Acc:ZDB-GENE-110913-131]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000101223	4	37788634	37795222	1	ZNF501 (1 of many)	si:ch211-229l10.11 [Source:ZFIN;Acc:ZDB-GENE-110913-131]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000102642	4	37359213	37366398	-1	znf1139	zinc finger protein 1139 [Source:ZFIN;Acc:ZDB-GENE-120214-40]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000102642	4	37359213	37366398	-1	znf1139	zinc finger protein 1139 [Source:ZFIN;Acc:ZDB-GENE-120214-40]	PF13894	PTHR24384	ZINC FINGER
ENSDARG00000096456	4	40515829	40522631	-1	si:dkeyp-82h4.3	si:dkeyp-82h4.3 [Source:ZFIN;Acc:ZDB-GENE-120709-17]	PF00096	PTHR24384	ZINC FINGER
ENSDARG00000096456	4	40515829	40522631	-1	si:dkeyp-82h4.3	si:dkeyp-82h4.3 [Source:ZFIN;Acc:ZDB-GENE-120709-17]	PF13465	PTHR24384	ZINC FINGER
ENSDARG00000102455	4	54128644	54274733	-1	znf1133	zinc finger protein 1133 [Source:ZFIN;Acc:ZDB-GENE-110913-178]	PF13894	PTHR24384	ZINC FINGER
