name	gene_id	biotype	cluster	chr	start	end
ABHD12B (1 of many)	ENSDARG00000069828	protein_coding	Cluster103	13	9546521	9554556
ABHD12B (1 of many).1	ENSDARG00000092071	protein_coding	Cluster001	13	9556952	9563614
ABTB2 (1 of many)	ENSDARG00000059751	protein_coding	Cluster017	7	48999885	49046965
AC024175.4	ENSDARG00000080337	Mt_rRNA	Cluster009	MT	2043	3725
ACAP2 (1 of many)	ENSDARG00000056478	protein_coding	Cluster004	2	5975744	6012419
ACBD3 (1 of many)	ENSDARG00000024602	protein_coding	Cluster007	17	33422958	33434079
ACKR3 (1 of many)	ENSDARG00000062478	protein_coding	NA	9	24232911	24239388
ACSF3	ENSDARG00000059503	protein_coding	Cluster003	7	55651329	55736488
ACTC1 (1 of many)	ENSDARG00000057911	protein_coding	NA	20	9983546	9993078
ACVR2B (1 of many)	ENSDARG00000103108	protein_coding	NA	2	52225340	52262103
ADAMTS14	ENSDARG00000078494	protein_coding	Cluster001	12	47993992	48046495
ADAMTSL5	ENSDARG00000052118	protein_coding	Cluster012	7	50201789	50244236
ADCK3 (1 of many)	ENSDARG00000032426	protein_coding	Cluster148	17	6310168	6330946
ADCY3 (1 of many)	ENSDARG00000077145	protein_coding	NA	16	2277358	2321184
ADGRG2 (1 of many)	ENSDARG00000088137	protein_coding	Cluster013	24	25139784	25156591
ADGRL3 (1 of many)	ENSDARG00000090624	protein_coding	Cluster001	7	72732962	72836974
AEBP1 (1 of many)	ENSDARG00000006901	protein_coding	Cluster016	8	44765667	44806787
AGAP3	ENSDARG00000087822	protein_coding	Cluster010	24	34252773	34449300
AGO3 (1 of many)	ENSDARG00000059888	protein_coding	Cluster006	16	51137729	51208263
AIMP1 (1 of many)	ENSDARG00000036894	protein_coding	Cluster071	23	45640856	45657895
AK6	ENSDARG00000035573	protein_coding	Cluster245	5	25599384	25603092
AKAP13 (1 of many)	ENSDARG00000023868	protein_coding	Cluster032	7	14838906	15008833
AKAP13 (1 of many).1	ENSDARG00000079994	protein_coding	Cluster002	25	11013437	11211798
AL929252.1	ENSDARG00000027394	protein_coding	Cluster001	7	32450958	32471465
AL935065.2	ENSDARG00000099693	protein_coding	Cluster026	5	37217717	37220725
AL954146.1	ENSDARG00000038891	protein_coding	NA	23	37341771	37351517
ALKBH3 (1 of many)	ENSDARG00000097208	protein_coding	Cluster001	25	29790696	29856669
ALX3	ENSDARG00000091086	protein_coding	Cluster056	8	24777393	24788908
AMIGO3 (1 of many)	ENSDARG00000079569	protein_coding	Cluster001	23	19543784	19545166
ANK1 (1 of many)	ENSDARG00000059093	protein_coding	NA	5	68156722	68270435
ANK2	ENSDARG00000009026	protein_coding	Cluster033	1	13386954	13473738
ANKFN1	ENSDARG00000060941	protein_coding	Cluster029	12	32177662	32259449
ANKRD34A	ENSDARG00000076719	protein_coding	Cluster001	16	42891959	42916035
ANKRD34C	ENSDARG00000093286	protein_coding	Cluster001	18	26140154	26141743
ANKRD50	ENSDARG00000045666	protein_coding	Cluster002	14	444078	447805
ANO2 (1 of many)	ENSDARG00000003210	protein_coding	Cluster001	18	7288019	7345612
ANO9 (1 of many)	ENSDARG00000079324	protein_coding	NA	7	32630507	32653211
ANPEP (1 of many)	ENSDARG00000036809	protein_coding	Cluster001	7	15125125	15164732
AP3B1	ENSDARG00000100082	protein_coding	Cluster233	21	6540249	6591403
AP3B2	ENSDARG00000105296	protein_coding	Cluster004	25	5573708	5613876
APBA3	ENSDARG00000090675	protein_coding	Cluster002	11	5618858	5636887
APBB3	ENSDARG00000053771	protein_coding	Cluster001	21	40707868	40759542
AREL1	ENSDARG00000100359	protein_coding	Cluster002	17	49381028	49427781
ARF5	ENSDARG00000070472	protein_coding	NA	18	7584215	7604125
ARHGAP22 (1 of many)	ENSDARG00000076434	protein_coding	Cluster004	12	2412104	2457737
ARHGAP28	ENSDARG00000101350	protein_coding	Cluster002	24	41886221	41913521
ARHGAP42 (1 of many)	ENSDARG00000010654	protein_coding	Cluster002	18	41853404	41893801
ARHGAP44 (1 of many)	ENSDARG00000102424	protein_coding	Cluster001	3	44485323	44637647
ARHGAP45 (1 of many)	ENSDARG00000052496	protein_coding	Cluster002	2	56557814	56632908
ARHGEF12 (1 of many)	ENSDARG00000030532	protein_coding	Cluster078	15	22510542	22601634
ARHGEF25 (1 of many)	ENSDARG00000100606	protein_coding	Cluster013	23	27985254	28088628
ARID5B	ENSDARG00000037196	protein_coding	Cluster013	12	8134180	8347970
ARSJ	ENSDARG00000077590	protein_coding	Cluster012	7	57374730	57388691
ASPH	ENSDARG00000078703	protein_coding	NA	7	57883872	57941487
ASTE1 (1 of many)	ENSDARG00000062530	protein_coding	Cluster002	19	19825871	19834636
ATG14	ENSDARG00000002670	protein_coding	Cluster003	17	10592332	10610643
ATP11B	ENSDARG00000101094	protein_coding	Cluster003	22	37006588	37064215
ATXN1L	ENSDARG00000086977	protein_coding	Cluster002	7	69177873	69192104
B4GALNT2 (1 of many)	ENSDARG00000076361	protein_coding	Cluster001	25	5176782	5199547
BAALC (1 of many).1	ENSDARG00000089549	protein_coding	Cluster013	20	19680252	19690795
BAG6 (1 of many)	ENSDARG00000077531	protein_coding	Cluster002	19	30887769	30923600
BAHCC1 (1 of many)	ENSDARG00000103739	protein_coding	NA	3	56970517	57106525
BCL6B	ENSDARG00000069335	protein_coding	Cluster081	7	19765239	19776199
BEGAIN	ENSDARG00000043673	protein_coding	Cluster001	20	9367910	9433524
BICD1 (1 of many)	ENSDARG00000098551	protein_coding	Cluster001	4	1544820	1564628
BICD2 (1 of many)	ENSDARG00000098215	protein_coding	Cluster088	8	52965539	53002401
BMT2	ENSDARG00000062181	protein_coding	Cluster002	25	21673414	21684887
BNC1	ENSDARG00000100757	protein_coding	Cluster034	KN150342.1	51991	60094
BRINP3 (1 of many)	ENSDARG00000075352	protein_coding	Cluster001	2	6822833	6893499
BRPF1	ENSDARG00000103665	protein_coding	Cluster168	8	54034356	54053810
BRSK1 (1 of many)	ENSDARG00000077124	protein_coding	Cluster001	12	4610146	4637696
BRSK1 (1 of many).1	ENSDARG00000077545	protein_coding	Cluster004	3	32162061	32189027
BRSK2 (1 of many)	ENSDARG00000061421	protein_coding	NA	25	24641806	24960887
BRSK2 (1 of many).1	ENSDARG00000077791	protein_coding	Cluster098	7	49051940	49322247
BUD13	ENSDARG00000006666	protein_coding	Cluster084	21	22660454	22668742
BX000701.4	ENSDARG00000105074	protein_coding	Cluster011	3	7154523	7155920
BX005085.2	ENSDARG00000098122	protein_coding	Cluster002	3	7170932	7188342
BX005395.1	ENSDARG00000069027	protein_coding	Cluster001	18	16809788	16811967
BX005448.1	ENSDARG00000098111	protein_coding	Cluster007	KN149682.1	48874	53897
BX005448.2	ENSDARG00000101349	protein_coding	Cluster023	KN149682.1	60997	66835
BX072532.1	ENSDARG00000092704	protein_coding	Cluster001	12	46424455	46435541
BX072532.2	ENSDARG00000094951	protein_coding	NA	12	46386343	46402220
BX248128.1	ENSDARG00000098501	protein_coding	Cluster026	4	60483415	60484212
BX321873.1	ENSDARG00000098447	protein_coding	Cluster007	4	36350259	36465216
