name	gene_id	biotype	cluster	chr	start	end
5S_rRNA:ENSDARG00000083412	ENSDARG00000083412	rRNA	Cluster001	16	17212087	17212209
5_8S_rRNA:ENSDARG00000081218	ENSDARG00000081218	rRNA	Cluster078	4	76320727	76320882
ABHD12B (1 of many):ENSDARG00000069828	ENSDARG00000069828	protein_coding	Cluster027	13	9546521	9554556
ABHD12B (1 of many):ENSDARG00000092071	ENSDARG00000092071	protein_coding	Cluster001	13	9556952	9563614
ABTB2 (1 of many)	ENSDARG00000059751	protein_coding	Cluster004	7	48999885	49046965
AC024175.4	ENSDARG00000080337	Mt_rRNA	Cluster008	MT	2043	3725
ACAP2 (1 of many)	ENSDARG00000056478	protein_coding	Cluster003	2	5975744	6012419
ACBD3 (1 of many)	ENSDARG00000024602	protein_coding	Cluster004	17	33422958	33434079
ACSF3	ENSDARG00000059503	protein_coding	Cluster002	7	55651329	55736488
ACVR2B (1 of many)	ENSDARG00000103108	protein_coding	Cluster031	2	52225340	52262103
ADAMTS1	ENSDARG00000103519	protein_coding	Cluster001	1	677013	686023
ADAMTS14	ENSDARG00000078494	protein_coding	Cluster001	12	47993992	48046495
ADAMTSL5	ENSDARG00000052118	protein_coding	Cluster007	7	50201789	50244236
ADCY3 (1 of many)	ENSDARG00000077145	protein_coding	Cluster001	16	2277358	2321184
ADGRG2 (1 of many):ENSDARG00000088137	ENSDARG00000088137	protein_coding	Cluster001	24	25139784	25156591
ADGRG2 (1 of many):ENSDARG00000088937	ENSDARG00000088937	protein_coding	Cluster001	10	35397206	35419988
ADGRL3 (1 of many)	ENSDARG00000090624	protein_coding	Cluster001	7	72732962	72836974
AEBP1 (1 of many)	ENSDARG00000006901	protein_coding	Cluster003	8	44765667	44806787
AGO3 (1 of many)	ENSDARG00000059888	protein_coding	Cluster010	16	51137729	51208263
AIMP1 (1 of many)	ENSDARG00000036894	protein_coding	Cluster020	23	45640856	45657895
AL929252.1	ENSDARG00000027394	protein_coding	Cluster001	7	32450958	32471465
ALKBH3 (1 of many)	ENSDARG00000097208	protein_coding	Cluster001	25	29790696	29856669
ALX3	ENSDARG00000091086	protein_coding	Cluster007	8	24777393	24788908
AMIGO3 (1 of many)	ENSDARG00000079569	protein_coding	Cluster001	23	19543784	19545166
ANK1 (1 of many)	ENSDARG00000059093	protein_coding	Cluster003	5	68156722	68270435
ANK2	ENSDARG00000009026	protein_coding	Cluster020	1	13386954	13473738
ANKRD34A	ENSDARG00000076719	protein_coding	Cluster001	16	42891959	42916035
ANKRD34C	ENSDARG00000093286	protein_coding	Cluster001	18	26140154	26141743
ANO2 (1 of many)	ENSDARG00000003210	protein_coding	Cluster001	18	7288019	7345612
ANO9 (1 of many)	ENSDARG00000079324	protein_coding	Cluster083	7	32630507	32653211
ANPEP (1 of many):ENSDARG00000036809	ENSDARG00000036809	protein_coding	Cluster001	7	15125125	15164732
AP3B2	ENSDARG00000105296	protein_coding	Cluster003	25	5573708	5613876
APBA3	ENSDARG00000090675	protein_coding	Cluster017	11	5618858	5636887
APBB3	ENSDARG00000053771	protein_coding	Cluster001	21	40707868	40759542
ARHGAP18	ENSDARG00000074740	protein_coding	Cluster025	20	2040059	2075980
